ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),CE,Score Unified,Explained Var(%),P,p-value,Sig_Hochber
3,1,0,300,8,"[6437, 12468, 2538, 8508, 2019, 3062, 5557, 9777, 13787]",6.709,1.77,2.161,0.044,0.317,24.21,3.114040581160466e-05,2.6423901335703074e-29,True
4,1,0,300,22,"[4492, 6116, 4716, 6564, 7012, 4940, 2137, 5892, 7264, 4268, 6788, 5668, 5192, 7488, 4044, 3820, 1689, 3596, 3427, 3152, 8846, 10120, 2704]",14.191,3.045,6.08,0.193,0.309,21.49,0.3151658299193096,0.9384204772473346,False
5,1,0,300,11,"[12629, 2088, 3131, 6506, 5625, 9846, 2605, 10959, 8576, 10543, 13017, 13168]",17.321,5.073,5.714,0.051,0.233,8.63,0.35920356607570986,0.999999856081121,False
6,1,0,300,20,"[11250, 11500, 10999, 13017, 13168, 7701, 13350, 8018, 10303, 8613, 11824, 65, 10715, 9365, 9887, 314, 555, 2763, 6191, 5253, 2194]",20.826,5.34,19.635,0.089,-0.103,20.13,0.35987133446324615,0.9981250263131437,False
7,1,0,300,13,"[1084, 1319, 1554, 848, 13017, 13168, 2398, 8083, 8355, 9626, 414, 12327, 5408, 2919]",19.368,5.814,17.533,0.082,-0.073,75.44,4.847072843430591e-13,5.860241607150986e-157,True
8,1,0,300,9,"[13583, 1815, 1269, 13017, 13168, 12264, 1033, 8305, 9582, 10130]",20.196,10.809,17.573,0.104,-0.081,42.08,0.36028738384785086,0.9999999939258374,False
9,1,0,300,18,"[9154, 2719, 2152, 614, 5208, 11775, 6148, 10254, 7653, 9875, 9398, 13017, 13168, 11953, 8165, 8600, 13547, 101, 12109]",18.73,12.959,17.163,0.078,-0.046,10.89,0.22337499222166587,0.7088086820274243,False
10,1,0,300,17,"[8997, 10243, 7639, 5506, 8457, 2652, 9727, 2485, 13017, 13168, 1969, 3012, 12418, 13736, 3578, 1588, 4474, 7359]",18.483,14.639,17.321,0.154,-0.029,48.58,0.30146771518911497,0.9932803918135249,False
11,1,0,300,5,"[12787, 13016, 13167, 1571, 1339, 1101]",19.891,15.961,18.797,0.1,-0.13,39.68,0.3602866757553855,0.9999999999970471,False
12,1,0,300,15,"[7852, 10454, 8089, 13017, 13168, 11959, 845, 9355, 10788, 12226, 2936, 8774, 10048, 5430, 9143, 6375]",19.613,16.498,18.283,0.073,-0.089,33.25,7.417071512117932e-05,3.1775859473294212e-49,True
0,1,0,600,7,"[3009, 12415, 5503, 8455, 9724, 6393, 2482, 10838]",20.004,2.383,9.586,0.039,0.25,30.63,6.390269306211144e-05,7.240099809281052e-26,True
1,1,0,600,7,"[441, 5038, 11850, 7987, 9257, 2548, 5920, 11549]",19.654,2.498,14.053,0.032,0.178,33.28,1.2961209611402852e-05,2.0773172997059954e-31,True
2,1,0,600,7,"[4212, 5836, 4660, 6760, 3512, 7208, 3820, 3204]",19.873,5.38,8.481,0.191,0.318,4.46,0.2913136693385509,0.9771038883284656,False
3,1,0,600,4,"[1724, 13492, 12173, 8213, 9483]",19.77,7.251,17.611,0.036,0.102,22.77,5.4853206728975286e-05,6.794471776278701e-16,True
4,1,0,600,7,"[2181, 8151, 5235, 2748, 9422, 12093, 6103, 631]",22.585,13.048,14.565,0.045,0.174,47.16,3.620894073369161e-08,7.710006224188367e-52,True
5,1,0,600,8,"[10025, 7422, 8751, 4984, 5931, 387, 11795, 9204, 7934]",27.308,16.889,24.326,0.054,0.031,18.44,0.006940756234270177,3.2670481543245156e-11,True
6,1,0,600,4,"[941, 1424, 7940, 148, 2013]",29.139,22.761,28.423,0.065,-0.058,70.35,5.246810063304995e-16,5.450498645933831e-71,True
7,1,0,600,10,"[13128, 303, 5838, 4900, 11278, 7351, 10082, 9020, 11665, 7668, 3766]",32.694,23.357,29.691,0.071,-0.033,10.28,0.26647307243681645,0.7149741688342058,False
8,1,0,600,8,"[10537, 10950, 1665, 12393, 13417, 5619, 3125, 6443, 9679]",28.256,25.431,26.889,0.058,-0.007,34.34,0.0071270047089654525,4.120534545527632e-11,False
9,1,0,600,2,"[12787, 1339, 874]",31.547,26.918,29.232,0.071,-0.083,52.81,0.26647307243681645,0.9999005732582338,False
0,1,0,1200,6,"[3009, 12415, 8454, 9724, 6397, 5503, 10838]",27.902,4.204,23.091,0.031,0.2,29.58,2.644984961287373e-05,1.5440029506429976e-27,True
1,1,0,1200,2,"[4033, 6553, 3361]",15.542,11.225,13.383,0.188,0.295,3.57,0.12501282406580713,0.5307513237395298,False
2,1,0,1200,1,"[1133, 12901]",17.595,17.595,17.595,0.052,0.19,51.75,1.4838795534703386e-18,5.086385602468985e-34,True
3,1,0,1200,5,"[4902, 9123, 7853, 5798, 11796, 2410]",31.403,20.802,24.294,0.035,0.173,34.79,1.3210843371883715e-07,3.966404269336161e-37,True
4,1,0,1200,3,"[18, 11148, 4602, 8598]",30.373,22.791,28.825,0.036,0.095,26.88,3.58282778794578e-12,1.205363582338279e-42,True
5,1,0,1200,3,"[1791, 12240, 8279, 2392]",31.29,28.465,30.037,0.04,0.084,36.7,3.755115932693197e-12,1.45447991686469e-42,True
6,1,0,1200,4,"[7252, 252, 11200, 8610, 4340]",36.828,35.766,36.176,0.054,0.038,33.28,0.0024307716590423224,2.159106753857465e-09,False
0,1,0,60,79,"[901, 12659, 12852, 12988, 13164, 13272, 13414, 13733, 14037, 1571, 1340, 6436, 1152, 1443, 1759, 2012, 2459, 3083, 5514, 8645, 3008, 1105, 115, 8159, 8319, 10533, 8238, 12210, 9461, 7999, 9600, 11980, 7934, 8078, 12816, 9326, 9261, 13956, 12947, 1674, 2428, 5483, 8446, 932, 963, 994, 1183, 1214, 1245, 1371, 1474, 1602, 1790, 1821, 1852, 2490, 2521, 2552, 12690, 12721, 12883, 13019, 13050, 13081, 13195, 13303, 13334, 13445, 13476, 13507, 13538, 13569, 13600, 13631, 13764, 13795, 13826, 13857, 13888, 1954]",7.845,0.0,7.462,0.13,0.117,47.91,0.006242857962722442,2.079573880219973e-86,True
1,1,0,60,92,"[1402, 5556, 12906, 13231, 8197, 7958, 1718, 1942, 12947, 8037, 8277, 8117, 9285, 9348, 9419, 1633, 1885, 13123, 13373, 3013, 12769, 13692, 10492, 11986, 9159, 6479, 10816, 12066, 10759, 9221, 10575, 7891, 9482, 10445, 10858, 57, 902, 933, 964, 995, 1153, 1184, 1215, 1246, 1341, 1444, 1475, 1572, 1760, 1791, 1822, 1853, 2013, 2460, 2491, 2522, 2553, 3084, 5515, 6437, 12660, 12691, 12722, 12853, 12989, 13020, 13051, 13082, 13165, 13196, 13273, 13304, 13335, 13415, 13446, 13477, 13508, 13539, 13570, 13601, 13632, 13734, 13765, 13796, 13827, 13858, 13889, 14038, 9543, 151, 12127, 1111, 12812]",7.878,0.0,7.746,0.184,0.132,52.77,0.0056953089808850724,2.787859388886514e-110,True
2,1,0,60,50,"[2044, 12752, 1013, 1262, 2563, 1498, 3087, 5582, 8533, 8260, 12495, 8100, 8019, 6462, 10558, 8180, 9813, 9465, 134, 9331, 12111, 1384, 5538, 12888, 13213, 13661, 13897, 12049, 7940, 10659, 9268, 9526, 9402, 10797, 10474, 10096, 11996, 8821, 271, 7835, 13105, 13355, 1617, 1869, 40, 7874, 12929, 1700, 1924, 10876, 10838]",7.389,0.0,4.782,0.13,0.209,27.71,0.002712666308356399,2.712695645278064e-63,True
